Po Name,Zip,latitude,Pop2001,Area,zip2,State,longitude,Sumblkpop
ABINGDON,61410,40.7927,4093,34.08962,61410,IL,-90.4018,4118
ADAIR,61411,40.3971,461,45.48423,61411,IL,-90.5087,461
ALEXIS,61412,41.0689,1581,78.48238,61412,IL,-90.5737,1561
ALPHA,61413,41.1926,1117,31.70784,61413,IL,-90.3854,1122
ALTONA,61414,41.111,927,49.30531,61414,IL,-90.1406,926
AVON,61415,40.6473,1992,116.2662,61415,IL,-90.4193,2019
BERWICK,61417,40.7603,344,42.09322,61417,IL,-90.5244,350
BIGGSVILLE,61418,40.8507,577,36.69532,61418,IL,-90.8457,586
BLANDINSVILLE,61420,40.5558,1236,71.62214,61420,IL,-90.8652,1243
BRADFORD,61421,41.1481,1904,137.39203,61421,IL,-89.6427,1913
BUSHNELL,61422,40.5524,3617,39.99078,61422,IL,-90.5322,3633
CAMERON,61423,40.8713,758,44.65511,61423,IL,-90.4972,729
CARMAN,61425,40.765,366,19.60438,61425,IL,-91.0497,370
CUBA,61427,40.4931,2292,45.96633,61427,IL,-90.1789,2300
DAHINDA,61428,40.9484,823,21.56113,61428,IL,-90.1255,823
ELLISVILLE,61431,40.5956,431,36.60416,61431,IL,-90.2732,434
FAIRVIEW,61432,40.6655,653,31.94437,61432,IL,-90.1542,662
FIATT,61433,40.5999,67,8.89894,61433,IL,-90.1929,67
GALVA,61434,41.1702,3695,77.2644,61434,IL,-90.0365,3692
GERLAW,61435,41.0056,140,13.70515,61435,IL,-90.5927,192
GILSON,61436,40.8657,992,61.11079,61436,IL,-90.1938,998
GLADSTONE,61437,40.8474,1151,46.81087,61437,IL,-90.9791,1158
GOOD HOPE,61438,40.5888,726,36.91733,61438,IL,-90.64,732
INDUSTRY,61440,40.3173,876,46.09317,61440,IL,-90.62,884
IPAVA,61441,40.3546,992,66.46941,61441,IL,-90.2938,999
KEITHSBURG,61442,41.1108,872,27.90008,61442,IL,-90.9088,868
KEWANEE,61443,41.2652,14419,99.72748,61443,IL,-89.951,14411
KIRKWOOD,61447,40.8493,1001,33.50846,61447,IL,-90.7335,1019
KNOXVILLE,61448,40.9262,4573,45.66733,61448,IL,-90.2481,4590
LA FAYETTE,61449,41.105,516,37.66304,61449,IL,-89.9504,520
LA HARPE,61450,40.5626,1815,64.92719,61450,IL,-90.9806,1835
LAURA,61451,40.9392,412,23.57678,61451,IL,-89.9402,415
LITTLETON,61452,40.2346,366,36.46624,61452,IL,-90.6217,372
LITTLE YORK,61453,41.0273,524,34.26837,61453,IL,-90.7279,529
LOMAX,61454,40.6782,984,59.1768,61454,IL,-91.0022,992
MACOMB,61455,40.447,21671,161.48918,61455,IL,-90.6522,21741
MAQUON,61458,40.7732,934,84.98945,61458,IL,-90.201,897
MARIETTA,61459,40.5017,448,32.96555,61459,IL,-90.4138,403
MEDIA,61460,40.7633,463,36.36545,61460,IL,-90.8462,468
MONMOUTH,61462,40.9107,11964,139.9991,61462,IL,-90.6421,11993
NEW WINDSOR,61465,41.2004,1186,35.52186,61465,IL,-90.4833,1190
NORTH HENDERSON,61466,41.107,341,23.92741,61466,IL,-90.4796,341
ONEIDA,61467,41.0795,1270,63.92428,61467,IL,-90.2536,1271
OQUAWKA,61469,40.9425,2659,59.44979,61469,IL,-90.8776,2640
PRAIRIE CITY,61470,40.6073,588,18.01576,61470,IL,-90.5029,595
RARITAN,61471,40.6785,319,34.02351,61471,IL,-90.8462,322
RIO,61472,41.1104,506,31.63597,61472,IL,-90.387,512
ROSEVILLE,61473,40.6998,1736,96.38721,61473,IL,-90.6597,1760
SAINT AUGUSTINE,61474,40.7367,348,19.95999,61474,IL,-90.3811,339
SCIOTA,61475,40.5877,240,30.71865,61475,IL,-90.744,243
SEATON,61476,41.0634,691,67.76579,61476,IL,-90.8404,699
SMITHFIELD,61477,40.5086,580,43.24797,61477,IL,-90.2991,621
SMITHSHIRE,61478,40.7509,304,34.09858,61478,IL,-90.7482,308
SPEER,61479,41.0176,345,36.53015,61479,IL,-89.6966,349
STRONGHURST,61480,40.7639,1158,35.9779,61480,IL,-90.9611,1164
TABLE GROVE,61482,40.4013,453,46.6571,61482,IL,-90.4037,478
TOULON,61483,41.1059,2297,102.61247,61483,IL,-89.8588,2312
VERMONT,61484,40.309,1077,43.30932,61484,IL,-90.4298,1087
VICTORIA,61485,41.0146,637,52.09476,61485,IL,-90.0884,641
VIOLA,61486,41.1967,1552,36.62364,61486,IL,-90.5825,1550
WATAGA,61488,41.0239,977,13.42566,61488,IL,-90.3036,980
WILLIAMSFIELD,61489,40.9301,1005,44.7157,61489,IL,-90.0247,1006
WOODHULL,61490,41.193,1172,44.72159,61490,IL,-90.259,1172
WYOMING,61491,41.0338,1780,46.12519,61491,IL,-89.8042,1797
ASTORIA,61501,40.2332,2037,86.13649,61501,IL,-90.3179,2065
BENSON,61516,40.8148,858,41.63799,61516,IL,-89.1079,858
BRIMFIELD,61517,40.8235,3214,69.8425,61517,IL,-89.8521,3212
BRYANT,61519,40.478,620,3.58769,61519,IL,-90.0542,624
CANTON,61520,40.5461,18674,165.32429,61520,IL,-90.0152,18760
CHILLICOTHE,61523,40.9084,10838,54.24509,61523,IL,-89.5364,10871
DUNFERMLINE,61524,40.4767,21,6.86765,61524,IL,-90.0113,21
DUNLAP,61525,40.8451,5409,31.7964,61525,IL,-89.6694,5409
EDELSTEIN,61526,40.9235,1023,30.67806,61526,IL,-89.6256,1014
EDWARDS,61528,40.7715,1769,23.05454,61528,IL,-89.722,1755
ELMWOOD,61529,40.7779,2663,62.56657,61529,IL,-89.9369,2663
EUREKA,61530,40.7095,6161,43.24583,61530,IL,-89.2486,6149
FARMINGTON,61531,40.67,3447,39.7153,61531,IL,-90.0257,3467
FOREST CITY,61532,40.3336,595,30.10216,61532,IL,-89.8128,598
GLASFORD,61533,40.5821,2056,34.64324,61533,IL,-89.8287,2052
GREEN VALLEY,61534,40.3991,1796,65.67262,61534,IL,-89.6586,1800
GROVELAND,61535,40.583,1521,9.92203,61535,IL,-89.5257,1524
HANNA CITY,61536,40.6859,2942,41.73237,61536,IL,-89.7904,2960
HENRY,61537,41.1098,3260,58.02827,61537,IL,-89.4485,3267
LACON,61540,41.0121,2903,55.98672,61540,IL,-89.3783,2897
LEWISTOWN,61542,40.3815,3952,101.56833,61542,IL,-90.1501,3996
LIVERPOOL,61543,40.406,169,17.13092,61543,IL,-90.0036,171
LONDON MILLS,61544,40.6821,736,31.93923,61544,IL,-90.249,806
LOWPOINT,61545,40.881,901,57.45952,61545,IL,-89.3821,906
